"movie_title","director","produced_in","release_year","netflix_genre","description","movie_title-2","metacritic_genre","metascore","star_rating"
"The Tourist","Florian Henckel von Donnersmarck","United States, France, Italy, United Kingdom",2010,"Action & Adventure, Romantic Movies","An American tourist seeking solace for his shattered heart instead finds it in danger again after encountering a beautiful Interpol agent.","The Tourist","Drama,Thriller",37,"2 stars"
"Only God Forgives","Nicolas Winding Refn","Denmark, France, United States, Sweden",2013,"Cult Movies, Independent Movies, Thrillers","When a cop kills the brother of an expat American gangster who runs a Bangkok fight club, his crime-boss mother flies in to supervise revenge.","Only God Forgives","Drama,Thriller,Crime",37,"2 stars"
"The Nut Job","Peter Lepeniotis","Canada, South Korea, United States",2014,"Children & Family Movies, Comedies","When his grouchy attitude gets him kicked out of the park, Surly the squirrel hatches a plan to rob Maury's Nut Shop to stock up for winter.","The Nut Job","Adventure,Comedy,Animation,Family",37,"2 stars"
"Point Blank","Joe Lynch","France, United States",2019,"Action & Adventure","To save his pregnant wife, an emergency room nurse unwillingly partners with an injured murder suspect in a race against time and renegade cops.","Point Blank","Action,Thriller,Crime",37,"2 stars"
"Adore","Anne Fontaine","Australia, France",2013,"Dramas, Independent Movies, International Movies","When lifelong friends Roz and Lil fall in love with each other's teenage sons, they must carry out their affairs in relative secrecy.","Adore","Drama",37,"2 stars"
"The Cloverfield Paradox","Julius Onah","United States",2018,"Action & Adventure, Sci-Fi & Fantasy","Orbiting above a planet on the brink of war, scientists test a device to solve an energy crisis and end up face-to-face with a dark alternate reality.","The Cloverfield Paradox","Action,Adventure,Sci-Fi,Mystery,Thriller,Horror",37,"2 stars"
"Shanghai","Dibakar Banerjee","India",2012,"Dramas, Independent Movies, International Movies","Three disparate characters uncover government corruption as a small Indian town receives an influx of foreign money to turn it into the next Shanghai.","Shanghai","Drama,Mystery,Thriller,Romance",36,"2 stars"
"Seven Pounds","Gabriele Muccino","United States",2008,"Dramas, Romantic Movies","Weighed down by a dark secret, IRS agent Ben Thomas tries to improve the lives of seven strangers in need of a second chance.","Seven Pounds","Drama",36,"2 stars"
"The Next Karate Kid","Christopher Cain","United States",1994,"Action & Adventure, Dramas, Sports Movies","In Boston, karate master Mr. Miyagi finds a new pupil in troubled teen Julie Pierce when she gets bullied by a group of relentless classmates.","The Next Karate Kid","Action,Drama,Sport,Romance,Family",36,"2 stars"
"Special Correspondents","Ricky Gervais","Canada, United Kingdom, United States",2016,"Comedies","When they lose their passports, a bickering radio team invents phony reports from a combat zone in a ruse that becomes increasingly complicated.","Special Correspondents","Comedy",36,"2 stars"
"Domino","Brian De Palma","Denmark, France, Belgium, Italy, Netherlands, United States, United Kingdom",2019,"International Movies, Thrillers","A Copenhagen police officer hunts for the man who attacked his partner, only to stumble into a high-stakes game of espionage.","Domino","Action,Drama,Thriller,Crime",36,"2 stars"
