"movie_title","director","produced_in","release_year","netflix_genre","description","movie_title-2","metacritic_genre","metascore","star_rating"
"Moonlight","Barry Jenkins","United States",2016,"Dramas, Independent Movies, LGBTQ Movies","In a crime-infested Miami neighborhood, a gay African-American boy with a drug-addicted mother grows up with the help of a mentoring drug dealer.","Moonlight","Drama",99,"4 stars"
"Pan's Labyrinth","Guillermo del Toro","Mexico, Spain",2006,"Dramas, International Movies, Sci-Fi & Fantasy","Young Ofelia meets a mythical faun who claims she is destined to become princess of the Underworld. But first she must carry out three perilous tasks.","Pan's Labyrinth","Drama,Mystery,Thriller,Fantasy,War",98,"4 stars"
"Psycho","Mysskin","India",2020,"Horror Movies, International Movies, Thrillers","As a visually impaired man attempts to rescue his love interest from a serial killer, the dark story behind the murderer’s disturbing psyche emerges.","Psycho","Mystery,Thriller,Horror",97,"4 stars"
"Mean Streets","Martin Scorsese","United States",1973,"Classic Movies, Dramas, Independent Movies","In New York's Little Italy, a low-level hoodlum wrestles with loyalty to his mobster uncle, his faith and his friendship with an inveterate gambler.","Mean Streets","Drama,Thriller,Crime",96,"4 stars"
"Rosemary's Baby","Roman Polanski","United States",1968,"Classic Movies, Horror Movies, Thrillers","A woman is thrilled to find out she's pregnant. But as her belly grows, the more certain she becomes that her unborn child is in serious danger.","Rosemary's Baby","Drama,Horror",96,"4 stars"
"Carol","Todd Haynes","United Kingdom, United States, Australia",2015,"Dramas, LGBTQ Movies, Romantic Movies","In the 1950s, a glamorous married woman and an aspiring photographer embark on a passionate, forbidden romance that will forever change their lives.","Carol","Drama,Romance",95,"4 stars"
"A Separation","Asghar Farhadi","Iran, France",2011,"Dramas, International Movies","Amid an impasse in his marriage, a father in Tehran is beset by a bitter feud involving the family of a pious caretaker he hired for his aging dad.","A Separation","Drama",95,"4 stars"
"I Am Not Your Negro","Raoul Peck","Switzerland, France, Belgium, United States",2017,"Documentaries","Based on James Baldwin's unfinished book, this visual essay explores racism through the stories of Medgar Evers, Malcolm X and Martin Luther King Jr.","I Am Not Your Negro","Documentary",95,"4 stars"
"The Social Network","David Fincher","United States",2010,"Dramas","Director David Fincher's biographical drama chronicles the meteoric rise of Facebook CEO Mark Zuckerberg from Harvard sophomore to Internet superstar.","The Social Network","Biography,Drama,History,Comedy",95,"4 stars"
"The Lord of the Rings: The Return of the King","Peter Jackson","New Zealand, United States",2003,"Action & Adventure, Sci-Fi & Fantasy","Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor.","The Lord of the Rings: The Return of the King","Action,Adventure,Fantasy",94,"4 stars"
"Pulp Fiction","Quentin Tarantino","United States",1994,"Classic Movies, Cult Movies, Dramas","This stylized crime caper weaves together stories featuring a burger-loving hit man, his philosophical partner and a washed-up boxer.","Pulp Fiction","Drama,Thriller,Crime",94,"4 stars"
"Schindler's List","Steven Spielberg","United States",1993,"Classic Movies, Dramas","Oskar Schindler becomes an unlikely humanitarian, spending his entire fortune to help save 1,100 Jews from Auschwitz during World War II.","Schindler's List","Biography,Drama,History,War",94,"4 stars"
"Taxi Driver","Martin Scorsese","United States",1976,"Classic Movies, Dramas, Thrillers","Enraged by New York's moral rot and urban decay, an unhinged cab driver goes mad, plotting an assassination and saving a teen sex worker.","Taxi Driver","Drama,Thriller,Crime",94,"4 stars"
"Lady Bird","Greta Gerwig","United States",2017,"Comedies, Dramas, Independent Movies","An intrepid high schooler in Sacramento undergoes the trials of love, family and self-discovery as she dreams of escaping to college on the East Coast.","Lady Bird","Drama,Comedy",94,"4 stars"
"Crouching Tiger, Hidden Dragon","Ang Lee","Taiwan, Hong Kong, United States, China",2000,"Action & Adventure, International Movies, Romantic Movies","A young woman in ancient China longs for an adventurous life rather than a dull arranged marriage in Ang Lee's Oscar-winning martial arts epic.","Crouching Tiger, Hidden Dragon","Action,Adventure,Drama,Fantasy,Romance",93,"4 stars"
"There Will Be Blood","Paul Thomas Anderson","United States",2007,"Dramas, Independent Movies","An ambitious prospector strikes it rich and turns a simple village into a boomtown, stoking the ire of a charismatic young preacher.","There Will Be Blood","Drama,Thriller",93,"4 stars"
"Spotlight","Tom McCarthy","United States",2015,"Dramas, Independent Movies","A team of reporters and editors at the Boston Globe relentlessly investigate a shocking child molestation cover-up by the Catholic Church.","Spotlight","Biography,Drama,History,Thriller",93,"4 stars"
"Platoon","Oliver Stone","United States, United Kingdom",1986,"Action & Adventure, Classic Movies, Dramas","A soldier grows disillusioned as he's caught between rival sergeants in this semi-autobiographical Vietnam War drama from writer-director Oliver Stone.","Platoon","Drama,War",92,"4 stars"
"The Look of Silence","Joshua Oppenheimer","Denmark, Indonesia, Finland, Norway, United Kingdom, Israel, France, United States, Germany, Netherlands",2014,"Documentaries, International Movies","In a society terrorized into silence, the brother of a 1960s Indonesian genocide victim learns the identity of his murderers and confronts them.","The Look of Silence","Documentary",92,"4 stars"
"The Florida Project","Sean Baker","United States",2017,"Dramas, Independent Movies","A mischievous 6-year-old finds the magic in her own circumstances while living with her troubled mom in a budget motel near Disney World.","The Florida Project","Drama",92,"4 stars"
"The Queen","Frank Simon","United States",1968,"Cult Movies, Documentaries, LGBTQ Movies","From wartime drafts to evening gowns, this candid time capsule documents a 1967 beauty pageant that offers an inside look at competitive drag.","The Queen","Biography,Drama",91,"4 stars"
"Cool Hand Luke","Stuart Rosenberg","United States",1967,"Classic Movies, Dramas","Luke Jackson likes to do things his own way, which leads to a world of hurt when he ends up in a prison camp – and on the wrong side of its warden.","Cool Hand Luke","Drama,Crime",91,"4 stars"
"I Called Him Morgan","Kasper Collin","Sweden, United States",2016,"Documentaries, Music & Musicals","Decades after serving a prison sentence for killing jazz musician Lee Morgan, his common-law wife, Helen, reflects on their lives and his legacy.","I Called Him Morgan","Drama,History,Music,Documentary",90,"4 stars"
"Gosford Park","Robert Altman","United States, United Kingdom, Italy",2001,"Comedies, Dramas, International Movies","In this witty whodunit, wealthy guests and their servants gather for a weekend stay at the home of Sir William McCordle, who is soon found murdered.","Gosford Park","Drama,Mystery,Comedy",90,"4 stars"
"The Crying Game","Neil Jordan","United Kingdom, Japan, United States",1992,"Classic Movies, Independent Movies, Thrillers","IRA terrorist Fergus bonds with his prisoner, Jody. Jody tells Fergus of his girlfriend, Dil, with whom Fergus later falls in love.","The Crying Game","Thriller,Romance,Crime",90,"4 stars"
"Her","Spike Jonze","United States",2013,"Dramas, Romantic Movies, Sci-Fi & Fantasy","Love comes to a lonely writer in the sleekest of packages when he finds himself falling for the advanced operating system he bought to run his life.","Her","Sci-Fi,Drama,Comedy,Romance",90,"4 stars"
"Burning","Lee Chang-dong","South Korea, Japan",2018,"Dramas, Independent Movies, International Movies","An aspiring writer goes to the airport to pick up a high school friend returning from a trip to Africa but is disheartened to see her with another man.","Burning","Drama,Mystery",90,"4 stars"
"Winter's Bone","Debra Granik","United States",2010,"Dramas, Independent Movies","In this unflinching noir drama, a resilient teen goes on the trail of her missing, drug-dealing father when his absence threatens the family's safety.","Winter's Bone","Drama,Thriller",90,"4 stars"
"The Artist","Michel Hazanavicius","France, Belgium, United States",2011,"Comedies, Dramas, Independent Movies","Winner of five Oscars, this black-and-white silent film follows the romance between a silent-era legend on a downward spiral and a rising starlet.","The Artist","Romance",89,"4 stars"
"Searching for Bobby Fischer","Steven Zaillian","United States",1993,"Children & Family Movies, Classic Movies, Dramas","When a father learns that his 7-year-old son is a whiz at speed chess, he hires an implacable chess master to coach the boy for competitions.","Searching for Bobby Fischer","Biography,Drama",89,"4 stars"
"Howards End","James Ivory","United Kingdom, Japan, United States",1992,"Classic Movies, Dramas, Independent Movies","When a husband, acting in his family's ""best interest,"" does not accept his wife's deathbed wish, providence dictates that he pay for his duplicity.","Howards End","Drama,Romance",89,"4 stars"
"Raging Bull","Martin Scorsese","United States",1980,"Classic Movies, Dramas, Sports Movies","This gritty biopic of brutal boxer Jake LaMotta portrays a tormented soul rising to the top of his sport, only to be undone by his demons.","Raging Bull","Biography,Drama,Sport",89,"4 stars"
"The Lives of Others","Florian Henckel von Donnersmarck","Germany",2006,"Dramas, International Movies, Thrillers","As a secret police agent eavesdrops on a successful writer in East Germany in 1984, he becomes increasingly fascinated by the man's life and politics.","The Lives of Others","Drama,Thriller",89,"4 stars"
"Hell or High Water","David Mackenzie","United States",2016,"Dramas, Independent Movies","In a desperate bid to save their family ranch, two brothers stage a series of clever bank robberies with a pair of Texas Rangers in hot pursuit.","Hell or High Water","Drama,Crime",88,"4 stars"
"The Little Mermaid","Blake Harris, Chris Bouchard","United States",2018,"Children & Family Movies, Dramas","In this take on the classic tale, a captive circus mermaid transforms the lives of a skeptical journalist and his wide-eyed young sister.","The Little Mermaid","Fantasy,Romance,Animation,Family,Musical",88,"4 stars"
"The King's Speech","Tom Hooper","United Kingdom, United States, Australia",2010,"Dramas, International Movies","In this biographical drama, Britain's King George VI struggles with an embarrassing stutter until he seeks help from speech therapist Lionel Logue.","The King's Speech","Drama,History",88,"4 stars"
"Black Panther","Ryan Coogler","United States",2018,"Action & Adventure, Sci-Fi & Fantasy","T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new.","Black Panther","Action,Adventure,Sci-Fi,Drama",88,"4 stars"
"Blue Is the Warmest Color","Abdellatif Kechiche","France, Belgium, Spain",2013,"Dramas, Independent Movies, International Movies","Determined to fall in love, 15-year-old Adele is focused on boys. But it's a blue-haired girl she meets on the street who really piques her interest.","Blue Is the Warmest Color","Drama,Romance",88,"4 stars"
"Shirkers","Sandi Tan","United States, United Kingdom",2018,"Documentaries","In 1992, Sandi Tan and her friends shot a quirky film on the streets of Singapore. Then the footage disappeared, sending her on a hunt for answers.","Shirkers","Documentary",88,"4 stars"
"The Death of Stalin","Armando Iannucci","United Kingdom, France, Belgium, Canada, United States",2017,"Comedies, Dramas, Independent Movies","The death of Russian dictator Joseph Stalin throws the Soviet Union into comic chaos as his ambitious but addled ministers maneuver to succeed him.","The Death of Stalin","Biography,Drama,History,Comedy",88,"4 stars"
"Time Out","Rikhil Bahadur","India",2015,"Dramas, Independent Movies, International Movies","Raised in the privileged bubble of Delhi's elite, a teen is compelled to question his outlook on life and love when his older brother comes out as gay.","Time Out","Drama",88,"4 stars"
"Y Tu Mamá También","Alfonso Cuarón","Mexico",2001,"Dramas, Independent Movies, International Movies","When rich teens Tenoch and Julio meet the alluring, older Luisa, they try to impress her with stories of a road trip, then convince her to join them.","Y Tu Mamá También","Drama,Comedy",88,"4 stars"
"Spider-Man: Into the Spider-Verse","Peter Ramsey, Rodney Rothman, Bob Persichetti","United States",2018,"Action & Adventure, Comedies","After being bitten by a radioactive spider, Brooklyn teen Miles Morales gets a crash course in web-slinging from his alternate-dimension counterparts.","Spider-Man: Into the Spider-Verse","Action,Adventure,Sci-Fi,Comedy,Animation,Family",87,"4 stars"
"Elena","Petra Costa","Brazil, United States",2012,"Documentaries, International Movies","In this documentary, the director remembers a sister who left behind her life under Brazil’s dictatorship and moved to New York with dreams of acting.","Elena","Drama",87,"4 stars"
"The Lord of the Rings: The Two Towers","Peter Jackson","New Zealand, United States",2002,"Action & Adventure, Sci-Fi & Fantasy","Frodo and Sam head to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin.","The Lord of the Rings: The Two Towers","Action,Adventure,Fantasy",87,"4 stars"
"Happy as Lazzaro","Alice Rohrwacher","Italy, Switzerland, France, Germany",2018,"Dramas, Independent Movies, International Movies","Purehearted teen Lazzaro is content living as a sharecropper in rural Italy, but an unlikely friendship with the marquise's son will change his world.","Happy as Lazzaro","Drama",87,"4 stars"
"Newtown","Kim A. Snyder","United States",2016,"Documentaries","This intimate portrait sheds light on the trauma experienced and strength displayed by those affected by the 2012 massacre in Newtown, Connecticut.","Newtown","Documentary",87,"4 stars"
"Rebel Without a Cause","Nicholas Ray","United States",1955,"Classic Movies, Dramas","When Jim Stark arrives in a new town with his troubled past firmly in tow, he quickly falls for the girl next door and befriends the vulnerable Plato.","Rebel Without a Cause","Drama",87,"4 stars"
"Fire at Sea","Gianfranco Rosi","Italy, France",2016,"Documentaries, International Movies","Heartbreak, hope and nostalgia collide in this complex portrait of Lampedusa, a Mediterranean island where thousands of migrants land each year.","Fire at Sea","Documentary",87,"4 stars"
"Ordinary People","Eduardo Roy Jr.","Philippines",2016,"Dramas, Independent Movies, International Movies","Barely making a living as pickpockets, a teenage couple in Manila resort to desperate measures when their one-month-old child is kidnapped.","Ordinary People","Drama",87,"4 stars"
"Little Men","Ira Sachs","United States, Greece, Brazil",2016,"Dramas, Independent Movies","Jake and Tony become friends when Jake's dad inherits a home above Tony's mother's shop. Friendship is tested when Jake's dad raises the shop's rent.","Little Men","Drama,Family",86,"4 stars"
"The Master","Paul Thomas Anderson","United States",2012,"Dramas, Independent Movies","A heavy-drinking loner finds some semblance of a family when he stumbles onto the ship of Lancaster Dodd, the charismatic leader of a new ""religion.""","The Master","Drama",86,"4 stars"
"American Beauty","Sam Mendes","United States",1999,"Dramas","While struggling to endure his tightly wound wife, an unfulfilling job and a surly teen, a man becomes obsessed with one of his daughter's friends.","American Beauty","Drama",86,"4 stars"
"Lincoln","Steven Spielberg","United States, India",2012,"Dramas","Director Steven Spielberg takes on the towering legacy of Abraham Lincoln, focusing on his stewardship of the Union during the Civil War years.","Lincoln","Biography,Drama,History,War",86,"4 stars"
"Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese","Martin Scorsese","United States",2019,"Documentaries, Music & Musicals","In an alchemic mix of fact and fantasy, Martin Scorsese looks back at Bob Dylan's 1975 Rolling Thunder Revue tour and a country ripe for reinvention.","Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese","Biography,Music,Documentary",86,"4 stars"
"Bonnie and Clyde","Arthur Penn","United States",1967,"Action & Adventure, Classic Movies, Dramas","Bonnie Parker and Clyde Barrow are young, in love and on the run during a bullet-riddled bank robbery spree across Depression-ravaged America.","Bonnie and Clyde","Biography,Drama,Thriller,Romance,Crime",86,"4 stars"
"The Son","Sebastián Schindel","Argentina",2019,"Dramas, Independent Movies, International Movies","In this psychological thriller, painter Lorenzo's life spirals out of control as he fears his wife is trying to isolate him from their infant son.","The Son","Drama",86,"4 stars"
"The Death of Mr. Lazarescu","Cristi Puiu","Romania",2005,"Dramas, International Movies","The plot of Romanian director Cristi Puiu's real-time drama is simple, following the travails of an ailing old man who waits for his illness to overtake him as a weary paramedic shuttles him between hospitals.","The Death of Mr. Lazarescu","Drama",86,"4 stars"
"Room","Lenny Abrahamson","Ireland, Canada, United Kingdom, United States",2015,"Dramas, Independent Movies","Kidnapped, confined to a tiny room and raped, a young woman gives birth to a son. When he reaches his fifth birthday, she begins plotting an escape.","Room","Drama",86,"4 stars"
"The Player","Ahmad El-Badri","Egypt",2012,"Comedies, International Movies","To save his father’s company from bankruptcy, a rich, spoiled playboy is forced to wed a no-nonsense woman, who's just as unhappy to be marrying him.","The Player","Drama,Mystery,Thriller,Comedy,Romance,Crime",86,"4 stars"
"Chasing Coral","Jeff Orlowski","United States",2017,"Documentaries","Divers, scientists and photographers around the world mount an epic underwater campaign to document the disappearance of coral reefs.","Chasing Coral","Documentary",86,"4 stars"
"American Factory","Steven Bognar, Julia Reichert","United States",2019,"Documentaries","In this documentary, hopes soar when a Chinese company reopens a shuttered factory in Ohio. But a culture clash threatens to shatter an American dream.","American Factory","Documentary",86,"4 stars"
"Like Water for Chocolate","Alfonso Arau","Mexico",1992,"Classic Movies, Dramas, International Movies","When Pedro marries her sister, Tita throws herself into her cooking – and discovers she can transfer her emotions through the food she prepares.","Like Water for Chocolate","Drama,Romance",86,"4 stars"
"My Happy Family","Nana Ekvtimishvili, Simon Gross","Georgia, Germany, France",2017,"Dramas, Independent Movies, International Movies","A middle-aged wife and mother of two shocks her traditional, multigenerational Georgian household when she announces she's going to live by herself.","My Happy Family","Drama",86,"4 stars"
"Krisha","Trey Edward Shults","United States",2015,"Dramas, Independent Movies","After 10 years away from her family, Krisha returns for Thanksgiving, but bitter grudges and troubling addictions threaten to ruin the event.","Krisha","Drama,Comedy,Family",86,"4 stars"
"The Departed","Martin Scorsese","United States, Hong Kong",2006,"Dramas, Thrillers","Two rookie Boston cops are sent deep undercover – one inside the gang of a charismatic Irish mob boss and the other double-crossing his own department.","The Departed","Mystery,Thriller,Crime",85,"4 stars"
"My Life as a Zucchini","Claude Barras","Switzerland, France",2016,"Comedies, Dramas, International Movies","A 9-year-old boy finds his life upended when he's sent to live in an orphanage in this stop-motion animated tale of loss, friendship and young love.","My Life as a Zucchini","Drama,Comedy,Animation,Family",85,"4 stars"
"God's Own Country","Francis Lee","United Kingdom",2017,"Dramas, Independent Movies, International Movies","In Yorkshire, a withdrawn gay farmer begins a torrid affair with a Romanian migrant worker who shows him the depths of his capacity for affection.","God's Own Country","Drama,Romance",85,"4 stars"
"Hero","Corey Yuen","Hong Kong, China",1997,"Action & Adventure, International Movies","A pugilist from Shantung struggles to rise to the top of the Shanghai triad ladder, where his stellar martial arts talents can shine.","Hero","Action,Adventure,History",85,"4 stars"
"Amy","Asif Kapadia","United Kingdom",2015,"Documentaries, International Movies, Music & Musicals","Rare home videos and interviews with Amy Winehouse's inner circle offer an intimate look at her journey from charismatic teen to troubled star.","Amy","Biography,Music,Documentary",85,"4 stars"
"April and the Extraordinary World","Christian Desmares, Franck Ekinci","France, Canada, Belgium",2015,"Action & Adventure, Comedies, International Movies","After the world's top scientists disappear, orphaned April secretly forges ahead with a family experiment and gets tangled up in a vast conspiracy.","April and the Extraordinary World","Adventure,Mystery,Thriller,Comedy,Animation",85,"4 stars"
"Mudbound","Dee Rees","United States",2017,"Dramas, Independent Movies","Two Mississippi families – one black, one white – confront the brutal realities of prejudice, farming and friendship in a divided World War II era.","Mudbound","Drama",85,"4 stars"
"Carrie","Brian De Palma","United States",1976,"Classic Movies, Cult Movies, Horror Movies","An outcast teen with telekinetic ability lashes out with her deadly power when the high school ""in crowd"" torments her with a sick joke at the prom.","Carrie","Horror",85,"4 stars"
"Fruitvale Station","Ryan Coogler","United States",2013,"Dramas, Independent Movies","This dramatic rendering of a real-life tragedy recounts the final hours of Oscar Grant, shot by San Francisco transit police on New Year's Day, 2009.","Fruitvale Station","Biography,Drama",85,"4 stars"
"The Square","Jehane Noujaim","United Kingdom, Egypt, United States",2013,"Documentaries, International Movies","This Emmy-winning, street-level view of the 2011 Egyptian Revolution captures the astonishing uprising that led to the collapse of two governments.","The Square","Drama,History,Comedy,Documentary,News",84,"4 stars"
"Dallas Buyers Club","Jean-Marc Vallée","United States",2013,"Dramas, Independent Movies, LGBTQ Movies","Refusing to accept a death sentence from his doctor after being diagnosed with AIDS in 1986, Ron Woodroof smuggles medications from abroad.","Dallas Buyers Club","Biography,Drama,History",84,"4 stars"
"Snowpiercer","Bong Joon Ho","South Korea, Czech Republic",2013,"Action & Adventure, Cult Movies, International Movies","The Earth's remaining inhabitants are confined to a single train circling the globe as revolution brews among the class-divided cars.","Snowpiercer","Action,Sci-Fi,Drama,Thriller",84,"4 stars"
"A Ghost Story","David Lowery","United States",2017,"Dramas, Independent Movies","Following a fatal car crash, a man's spirit remains stuck in the home he shared with his wife as doors into the past and future begin to open.","A Ghost Story","Drama,Fantasy,Romance",84,"4 stars"
"Mystic River","Clint Eastwood","United States, Australia",2003,"Dramas, Thrillers","Tragedy reunites childhood friends Sean, Dave and Jimmy when they're linked together in a murder investigation about Jimmy's teenage daughter.","Mystic River","Drama,Mystery,Thriller,Crime",84,"4 stars"
"In the Shadow of the Moon","Jim Mickle","United States, Canada",2019,"Dramas, Sci-Fi & Fantasy, Thrillers","A Philadelphia detective slowly unravels as he nurses a lifelong obsession with an enigmatic female serial killer whose crimes defy explanation.","In the Shadow of the Moon","Documentary",84,"4 stars"
"Sling Blade","Billy Bob Thornton","United States",1996,"Dramas, Independent Movies","A man returns home after being released from a psychiatric hospital, where he'd been confined since age 12 for murdering his mother and her lover.","Sling Blade","Drama",84,"4 stars"
"Milk","Gus Van Sant","United States",2008,"Dramas, Independent Movies, LGBTQ Movies","Sean Penn stars in this biopic about Harvey Milk, the openly gay San Francisco politician who was murdered by a disgruntled city supervisor in 1978.","Milk","Biography,Drama",84,"4 stars"
"Under the Shadow","Babak Anvari","United Kingdom, Jordan, Qatar, Iran",2016,"Horror Movies, International Movies, Thrillers","During the Iran-Iraq conflict, a Tehran woman caring for her daughter while her husband is at war is gradually convinced evil spirits are at work.","Under the Shadow","Thriller,Horror",84,"4 stars"
"Naked","Michael Tiddes","United States",2017,"Comedies, Romantic Movies","Rob's madly in love and about to be married. Unfortunately, he's also naked, stuck in an elevator and caught in a time loop.","Naked","Drama",84,"4 stars"
"Roll Red Roll","Nancy Schwartzman","United States",2018,"Documentaries","This compelling documentary follows the 2012 Steubenville, Ohio rape case, putting social media and high school football culture in the spotlight.","Roll Red Roll","Documentary",83,"4 stars"
"De Palma","Noah Baumbach, Jake Paltrow","United States",2015,"Documentaries","Iconoclastic film director Brian DePalma takes a look back at the production of such classic movies as ""Carrie,"" ""Scarface"" and ""The Untouchables.""","De Palma","Biography,Documentary",83,"4 stars"
"Up in the Air","Jason Reitman","United States",2009,"Comedies, Dramas, Romantic Movies","Ryan Bingham flies around the country firing employees on behalf of companies, but he faces losing the job he savors to recent college grad Natalie.","Up in the Air","Drama,Romance",83,"4 stars"
"Private Life","Tamara Jenkins","United States",2018,"Comedies, Dramas, Independent Movies","Struggling to conceive, a couple in their 40s are almost out of options – until a sliver of hope arrives in the form of their visiting step-niece.","Private Life","Drama",83,"4 stars"
"Tyson","James Toback","United States, France",2008,"Documentaries, Sports Movies","In this surprisingly emotional documentary, heavyweight champ Mike Tyson analyzes the controversies surrounding his career and turbulent private life.","Tyson","Sport,Documentary",83,"4 stars"
"Sweeney Todd: The Demon Barber of Fleet Street","Tim Burton","United States, United Kingdom",2007,"Dramas, Horror Movies, Music & Musicals","After being falsely imprisoned, a vengeful murderer covers his tracks by enlisting the help of a baker whose meat pies become the toast of London.","Sweeney Todd: The Demon Barber of Fleet Street","Drama,Thriller,Horror,Musical",83,"4 stars"
"20th Century Women","Mike Mills","United States",2016,"Dramas, Independent Movies","In 1979, single bohemian mom Dorothea, hoping to help her teen son find his place as a man, asks two young women to share their lives with him.","20th Century Women","Drama,Comedy",83,"4 stars"
"Cutie and the Boxer","Zachary Heinzerling","United States",2013,"Documentaries","A 2014 Oscar nominee for Best Documentary Feature, this film explores the symbiotic relationship of artists Ushio and Noriko Shinohara.","Cutie and the Boxer","Documentary",83,"4 stars"
"Trainspotting","Danny Boyle","United Kingdom",1996,"Comedies, Cult Movies, Dramas","Renton and his mates cope with the gritty realities of heroin addiction. But when Renton gets clean, he can't get away from his friends' nasty habits.","Trainspotting","Drama,Crime",83,"4 stars"
"Kill Bill: Vol. 2","Quentin Tarantino","United States",2004,"Action & Adventure","The Bride has three left on her rampage list: Budd, Elle Driver and Bill himself. But when she arrives at Bill's house, she's in for a surprise.","Kill Bill: Vol. 2","Action,Thriller,Crime",83,"4 stars"
"Blackfish","Gabriela Cowperthwaite","United States",2013,"Documentaries","This fascinating documentary examines the life of performing killer whale Tilikum, who has caused the deaths of several people while in captivity.","Blackfish","Drama,Documentary",83,"4 stars"
"The Witch","Robert Eggers","United Kingdom, Canada, United States",2015,"Horror Movies, Independent Movies","Believing that a witch has cursed their family, pilgrims homesteading on the edge of a primeval New England forest become increasingly paranoid.","The Witch","Mystery,Horror",83,"4 stars"
"Don't Think Twice","Mike Birbiglia","United States",2016,"Comedies, Dramas, Independent Movies","Six talented but struggling improv comics see a sudden shift in their troupe's dynamic after one of them lands a much-coveted gig on television.","Don't Think Twice","Drama,Comedy",83,"4 stars"
"We the Animals","Jeremiah Zagar","United States",2018,"Dramas, Independent Movies","A trio of brothers cope with their parents' volatile relationship by running wild and unchecked, and one of them experiences a visceral awakening.","We the Animals","Drama",83,"4 stars"
"Neruda","Pablo Larraín","Chile, Argentina, France, Spain, United States",2016,"Dramas, International Movies","When a Chilean policeman vows to find and capture leftist poet Pablo Neruda, a game of cat and mouse ensues that tests both their wills.","Neruda","Biography,Drama,History,Crime",82,"4 stars"
"Short Term 12","Destin Daniel Cretton","United States",2013,"Dramas, Independent Movies","A new charge at a foster care facility dredges up the memories of a young supervisor's own troubled past, and her tough exterior begins eroding.","Short Term 12","Drama",82,"4 stars"
"Steve Jobs","Danny Boyle","United Kingdom, United States",2015,"Dramas","By keying in on three crucial points in his career, this biopic shows the human foibles and visionary fearlessness of the man who made the Mac.","Steve Jobs","Biography,Drama",82,"4 stars"
"Frozen River","Courtney Hunt","United States",2008,"Dramas, Independent Movies","On a Mohawk reservation on the Canadian border, Ray Eddy teams with a widowed tribe member to smuggle illegal immigrants into the United States.","Frozen River","Drama,Crime",82,"4 stars"
"Frances Ha","Noah Baumbach","United States, Brazil",2012,"Comedies, Dramas, Independent Movies","Determined to make it as a modern dancer in New York, a young woman pursues her unlikely goal with more enthusiasm than natural talent.","Frances Ha","Drama,Comedy",82,"4 stars"
"The Lobster","Yorgos Lanthimos","Ireland, United Kingdom, Greece, France, Netherlands",2015,"Comedies, International Movies, Romantic Movies","In a near-future world, single people are hunted and forced to find mates within 45 days, or be turned into animals and banished to the wilderness.","The Lobster","Sci-Fi,Drama,Thriller,Comedy,Romance",82,"4 stars"
"The Spectacular Now","James Ponsoldt","United States",2013,"Dramas, Independent Movies, Romantic Movies","Classmates Aimee and Sutter form an unlikely friendship, and after helping Aimee raise her social confidence, Sutter begins falling for his creation.","The Spectacular Now","Drama,Comedy,Romance",82,"4 stars"
"Mountain","Jennifer Peedom","Australia",2017,"Action & Adventure, Documentaries, International Movies","Featuring breathtaking imagery and thought-provoking narration, this film takes viewers to the summits of some of the world’s most amazing mountains.","Mountain","Documentary",82,"4 stars"
"The End of the Tour","James Ponsoldt","United States",2015,"Dramas, Independent Movies","""Rolling Stone"" reporter David Lipsky shadows famed writer David Foster Wallace in this fictionalized account of their revealing five-day encounter.","The End of the Tour","Drama",82,"4 stars"
"The Killer","Marcelo Galvão","Brazil",2017,"Action & Adventure, International Movies","In lawless badlands, reclusive Cabeleira sets out to discover the fate of his gunman father and grows to be a feared assassin himself.","The Killer","Action,Drama,Thriller,Crime",82,"4 stars"
"The Squid and the Whale","Noah Baumbach","United States",2005,"Comedies, Dramas, Independent Movies","This insightful drama looks at the crumbling marriage between a self-centered novelist – whose career is waning – and his up-and-coming writer wife.","The Squid and the Whale","Drama,Comedy",82,"4 stars"
"Rachel Getting Married","Jonathan Demme","United States",2008,"Dramas, Independent Movies","Longstanding family conflicts resurface when a former model who's been in and out of rehab for a decade returns home for her sister's wedding.","Rachel Getting Married","Drama,Romance",82,"4 stars"
"Starred Up","David Mackenzie","United Kingdom",2013,"Dramas, Independent Movies, International Movies","A British juvenile offender's violent temper gets him transferred to an adult prison, where he encounters his estranged father.","Starred Up","Drama",81,"4 stars"
"Hunt for the Wilderpeople","Taika Waititi","New Zealand",2016,"Action & Adventure, Comedies, Dramas","A misadventure in the wilderness leads to life-changing discoveries for a troubled orphan teen from the city and his belligerent foster father.","Hunt for the Wilderpeople","Adventure,Drama,Comedy",81,"4 stars"
"Shadow","Zhang Yimou","China, Hong Kong",2018,"Action & Adventure, Dramas, International Movies","As three kingdoms struggle for control of a walled city, a figure with a rare power spins a web of intrigue that entangles a king's court.","Shadow","Action,Drama,War",81,"4 stars"
"Django Unchained","Quentin Tarantino","United States",2012,"Action & Adventure, Dramas","Accompanied by a German bounty hunter, a freed slave named Django travels across America to free his wife from a sadistic plantation owner.","Django Unchained","Action,Adventure,Drama,Crime,Western",81,"4 stars"
